Iteration;Time;QI-0;QI-1;QI-2;QI-3;QI-4;QI-5;QI-6;QI-7;QI-8;
70435;4,981;5;4;1;3;1;2;1;1;6
72435;5,064;1;4;1;5;7;2;3;1;6
73935;5,127;1;2;1;1;3;1;4;1;5
74935;5,162;1;2;1;1;1;1;1;1;3
76435;5,213;1;4;1;1;3;1;1;1;1
77935;5,27;1;2;4;1;5;1;1;1;3
79435;5,323;4;5;1;1;2;3;1;1;6
81435;5,399;2;3;1;1;5;7;4;1;6
82970;5,465;1;2;1;1;1;5;4;1;3
83970;5,502;1;2;1;1;1;1;1;1;3
85470;5,558;1;3;1;1;1;2;1;1;4
86970;5,614;1;4;1;1;1;3;1;1;5
88470;5,669;2;3;1;1;1;1;1;1;4
90470;5,764;4;5;1;1;3;2;7;1;6
91970;5,821;4;5;1;1;2;1;1;1;3
93470;5,876;4;2;1;1;3;1;1;1;1
94970;5,93;3;4;1;1;2;1;1;1;5
96470;5,998;4;3;1;1;2;1;1;1;5
97970;6,052;5;2;1;1;1;4;1;1;3
99500;6,135;3;4;1;1;1;2;1;1;5
101000;6,206;1;3;1;2;1;4;1;1;5
102500;6,323;1;1;1;3;1;4;1;1;2
104000;6,417;1;5;1;3;1;4;1;1;1
105500;6,497;1;4;1;1;2;3;1;1;1
107000;6,575;1;3;5;4;2;1;1;1;1
108500;6,652;3;4;1;1;2;1;5;1;1
110000;6,736;4;1;1;1;2;1;3;1;1
111500;6,815;3;2;1;1;1;1;1;1;4
113000;6,894;3;4;1;1;2;1;1;1;1
114500;7,0;2;3;1;1;4;6;1;1;5
116544;7,112;3;4;6;2;1;5;1;1;7
118044;7,236;1;2;5;1;1;6;3;1;4
119544;7,309;1;1;5;1;1;3;2;1;4
120544;7,367;1;1;2;1;1;3;1;1;1
121544;7,422;1;1;2;1;1;3;1;1;1
123044;7,504;1;1;1;1;2;3;1;1;4
124544;7,59;3;1;1;2;5;6;1;1;4
126544;7,705;6;4;1;7;2;8;3;1;5
128044;7,806;2;3;1;1;1;4;1;1;5
129544;7,897;1;3;1;1;1;2;1;1;4
131044;8,0;2;1;1;1;1;4;1;1;3
132574;8,244;5;1;4;1;1;2;1;1;3
134074;8,348;2;1;4;1;1;3;1;1;5
135574;8,438;3;1;1;2;1;4;6;1;5
137074;8,582;2;1;1;1;1;3;4;1;5
138074;8,635;1;1;1;1;1;2;1;1;3
139574;8,726;1;3;1;1;1;2;1;1;4
141074;8,902;4;2;1;1;1;1;1;1;3
142574;9,022;2;5;1;1;3;4;1;1;6
144574;9,114;3;5;1;1;2;7;6;1;4
146074;9,18;4;2;1;1;1;5;3;1;1
147074;9,228;1;3;1;1;1;2;1;1;1
148097;9,284;2;1;1;1;1;3;1;1;1
149097;9,332;1;2;1;1;1;3;1;1;1
150597;9,391;3;4;1;1;2;5;1;1;1
152597;9,46;2;6;1;1;3;4;7;1;5
154097;9,516;1;2;1;1;4;5;3;1;1
155097;9,552;1;2;1;1;1;3;1;1;1
156097;9,587;1;1;1;1;2;3;1;1;1
157097;9,622;1;3;1;1;1;2;1;1;1
158597;9,683;3;4;1;1;1;2;1;1;1
160597;9,761;1;5;4;1;6;7;3;1;2
162097;9,82;1;4;1;3;2;6;5;1;1
163620;9,905;1;4;1;3;2;1;1;1;1
165120;9,97;1;2;1;1;3;4;1;1;1
166620;10,051;1;4;1;2;1;3;1;1;1
168120;10,115;1;4;1;3;2;5;1;1;1
170120;10,217;1;7;1;2;3;5;6;1;4
171620;10,299;1;3;1;1;1;5;4;1;2
172620;10,351;1;3;1;1;1;1;1;1;2
173620;10,401;1;3;1;1;1;1;1;1;2
174620;10,453;1;3;1;1;1;2;1;1;1
176120;10,528;2;5;1;1;1;3;1;1;4
178120;10,63;2;5;1;1;3;7;6;1;4
179650;10,697;1;4;1;1;1;2;5;1;3
180650;10,742;1;3;1;1;1;1;1;1;2
